,train_loss,train_acc,val_loss,val_acc,lr
0,1.9449554925062218,32.026,1.7327826499938965,42.78,0.1
1,1.603851565901114,48.556,1.5396329939365387,53.81,0.09999383162408304
2,1.3936002777547252,59.45,1.4094351947307586,59.71,0.09997532801828658
3,1.2497987151145935,66.316,1.1919293850660324,69.46,0.09994449374809851
4,1.1437680554025027,71.706,1.5851565569639205,57.68,0.09990133642141359
5,1.055584391160887,75.704,1.1039036214351654,74.84,0.09984586668665642
6,0.9792201196660801,79.51,1.1187830194830894,73.36,0.09977809823015402
7,0.9287807643413544,81.5,1.1970770895481109,71.99,0.09969804777275901
8,0.8865581705253951,83.606,1.0682580322027206,76.66,0.09960573506572391
9,0.8546500044817827,85.08,0.9119580209255218,82.89,0.09950118288582789
10,0.82874395987209,86.122,1.0130747154355049,78.57,0.09938441702975691
11,0.8076162876523271,86.91,0.921524329483509,82.72,0.09925546630773871
12,0.7918779071496458,87.792,0.8998192936182022,83.18,0.09911436253643445
13,0.7738339158953452,88.496,0.8635794371366501,84.78,0.0989611405310883
14,0.7644141650929743,88.874,0.9300416633486748,81.8,0.09879583809693739
15,0.7608534240601014,89.058,0.9565464839339256,80.73,0.09861849601988384
16,0.7468771125589099,89.53,1.0423624694347382,78.51,0.09842915805643157
17,0.7345932904554873,90.194,0.861390994489193,85.59,0.09822787092288993
18,0.7298785773467045,90.37,1.0128070682287216,78.92,0.09801468428384717
19,0.7261784353426525,90.544,0.9216423586010933,83.44,0.09778965073991652
20,0.7225013022520104,90.706,0.8687179788947106,84.9,0.0975528258147577
21,0.7121508528991621,91.252,0.867557680606842,84.95,0.09730426794137728
22,0.7134284139895926,91.134,0.9264258205890655,82.46,0.09704403844771128
23,0.6997380591168696,91.766,0.8716723665595054,84.9,0.09677220154149338
24,0.7047228998675639,91.408,0.8489195257425308,85.68,0.09648882429441258
25,0.6947188657157275,92.01,0.8687110379338264,85.29,0.09619397662556435
26,0.6932805116687503,92.014,0.8425514400005341,85.72,0.09588773128419906
27,0.6889309028581697,92.02,0.8331813156604767,86.06,0.09557016383177226
28,0.6865943527343322,92.232,0.8396172568202018,86.15,0.09524135262330098
29,0.6805835144252194,92.49,0.793874803185463,87.95,0.09490137878803079
30,0.6757828757470968,92.762,0.8948542967438697,84.28,0.0945503262094184
31,0.6766624830815257,92.64,0.854100552201271,85.13,0.0941882815044347
32,0.6713728144460794,92.856,0.8774585887789726,84.86,0.09381533400219319
33,0.670068792846738,93.038,0.7980461925268173,87.45,0.09343157572190958
34,0.6713629839371662,92.908,0.7922811105847358,88.37,0.0930371013501972
35,0.6653357443152642,93.204,0.8927782967686653,83.95,0.09263200821770463
36,0.6634258606604168,93.416,0.816917534172535,87.35,0.09221639627510078
37,0.6615789368444559,93.32,0.9287147864699363,82.78,0.09179036806841355
38,0.6624346162591662,93.266,0.9888808384537697,80.86,0.09135402871372812
39,0.6607328139397562,93.414,0.9003107726573945,83.69,0.0909074858712512
40,0.6565399601751444,93.622,0.7991260305047035,87.34,0.09045084971874741
41,0.6529423320779995,93.696,0.8580111682415008,85.31,0.08998423292435458
42,0.6506423123028814,93.88,0.8854642480611801,84.52,0.08950775061878455
43,0.6586186761150554,93.384,0.8363270998001099,85.71,0.08902152036691653
44,0.6431730511237164,94.17,0.7970723584294319,87.93,0.08852566213878951
45,0.6411836037830431,94.206,0.8497904181480408,85.34,0.0880202982800016
46,0.6476408346575133,93.926,0.8007732257246971,87.54,0.08750555348152303
47,0.6423605394606687,94.196,0.7838225468993187,88.53,0.08698155474893052
48,0.6407072227828357,94.32,0.7948506459593773,87.83,0.08644843137107061
49,0.6406513075439297,94.224,0.8200198650360108,86.76,0.08590631488815947
50,0.6393176332420233,94.242,0.822149184346199,87.03,0.0853553390593274
51,0.6351983398199081,94.544,0.7946210861206054,87.93,0.08479563982961574
52,0.6378574556842143,94.384,0.7708118945360184,88.41,0.08422735529643446
53,0.6345054513337661,94.576,0.8713951915502548,84.45,0.08365062567548869
54,0.6337355144169866,94.494,0.9116473734378815,82.95,0.08306559326618261
55,0.6317027268969283,94.6,0.739831730723381,90.2,0.0824724024165092
56,0.62797797364848,94.802,0.823603443801403,87.1,0.0818711994874345
57,0.6291489151059365,94.804,0.7750397592782974,88.73,0.08126213281678528
58,0.6275032716138023,94.874,0.8359524518251419,86.86,0.08064535268264884
59,0.6276812148945672,94.792,0.7737680494785308,88.62,0.08002101126629421
60,0.6253758392163685,94.94,0.8558668836951255,86.68,0.07938926261462367
61,0.6261252715271346,94.796,0.8034509658813477,88.09,0.07875026260216395
62,0.6143440589004633,95.41,0.753040862083435,89.96,0.07810416889260656
63,0.6227817541482498,95.018,0.7818016976118087,88.59,0.07745114089990661
64,0.619386258173962,95.166,0.7903020411729813,88.25,0.07679133974894985
65,0.6144499988580236,95.404,0.8733419731259346,84.76,0.07612492823579746
66,0.6164207455455041,95.294,0.815905199944973,87.47,0.07545207078751859
67,0.6146954839326897,95.434,0.831552331149578,86.28,0.0747729334216204
68,0.6162468076360469,95.254,0.8283977091312409,87.13,0.07408768370508578
69,0.6134632016931262,95.446,0.8222556993365288,86.97,0.0733964907130287
70,0.607751262431242,95.714,0.775348137319088,89.18,0.07269952498697736
71,0.6098189688458735,95.636,0.7899204686284065,87.73,0.07199695849279578
72,0.6067915723031881,95.674,0.7939988300204277,88.11,0.07128896457825366
73,0.6045450659430757,95.87,0.7430274486541748,89.71,0.07057571793025548
74,0.6054483229408458,95.846,0.7818096309900284,88.4,0.06985739453173906
75,0.6016989681793719,96.006,0.7623477101325988,89.16,0.06913417161825453
