epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.018485793045589,11.974,2.224539080752602,16.39,0.1
2,2.145593755099238,18.422,2.0860256394253502,20.78,0.09999383162408304
3,1.987973196774113,26.276,1.8853197429753557,32.38,0.09997532801828658
4,1.8449932817293673,35.332,1.815277697164801,35.03,0.09994449374809851
5,1.7378333952962135,41.484,1.7595804265782804,40.76,0.09990133642141359
6,1.6301623084107224,47.23,1.6243410668795621,47.52,0.09984586668665642
7,1.5354572954226513,52.286,1.466766911216929,56.4,0.09977809823015402
8,1.4463320167697207,56.992,1.5936802278591107,51.74,0.09969804777275901
9,1.357038289308548,61.526,1.4462737131722365,59.02,0.09960573506572391
10,1.27553049155644,65.4,1.323644657678242,63.25,0.09950118288582789
11,1.211200558409399,68.472,1.1905603650250012,69.15,0.09938441702975691
12,1.1585178442147313,70.712,1.173725049706954,70.06,0.09925546630773871
13,1.1089075548308236,73.028,1.3490999665441392,64.35,0.09911436253643445
14,1.0648097785151736,75.06,1.1649063267285311,71.18,0.0989611405310883
15,1.0172825902700424,77.428,1.1043329789668699,73.59,0.09879583809693739
16,0.9845688975587183,78.9,1.052690656124791,75.99,0.09861849601988384
17,0.9539214977804495,80.44,1.0451388879667354,76.44,0.09842915805643157
18,0.9354369044303894,80.974,0.9967450446720365,79.01,0.09822787092288993
19,0.9173241844590829,82.024,0.9886164167259313,79.5,0.09801468428384717
20,0.9051154149430138,82.446,1.0208047605768036,77.25,0.09778965073991652
21,0.8893567828499541,83.09,1.043211808687524,76.98,0.0975528258147577
22,0.881053024712874,83.56,1.077967627139031,76.56,0.09730426794137728
23,0.8668561970092812,84.344,1.1595854970473278,74.31,0.09704403844771128
24,0.8526959066488304,84.902,1.017812863935398,79.12,0.09677220154149338
25,0.8471601821330129,85.068,1.1119868544083606,75.99,0.09648882429441258
26,0.8427738513873548,85.352,0.9896462250359451,80.54,0.09619397662556435
27,0.8366644546693686,85.532,0.9965412269664716,78.38,0.09588773128419906
28,0.8285901473492993,85.898,1.075139049487778,75.56,0.09557016383177226
29,0.8254588711626676,86.05,0.9782603986655609,80.64,0.09524135262330098
30,0.8139412637267794,86.65,0.9290911517565763,81.59,0.09490137878803079
31,0.8070617169141769,86.854,1.2940826295297356,69.28,0.0945503262094184
32,0.8083751946687698,86.798,1.0779568937760364,78.62,0.0941882815044347
33,0.802121211375509,87.212,0.995608324491525,78.29,0.09381533400219319
34,0.7868678061937799,87.896,1.2081243418440033,73.37,0.09343157572190958
35,0.7897443038468458,87.576,0.8742350060728532,84.47,0.0930371013501972
36,0.7859564079922072,87.678,1.0707864866981023,77.29,0.09263200821770463
37,0.7802072660047181,88.068,1.2035747864578343,72.57,0.09221639627510078
38,0.7784779418487938,88.058,0.9966626891606971,79.73,0.09179036806841355
39,0.7772112622552988,88.216,0.8479430547243432,85.23,0.09135402871372812
40,0.7707792991886333,88.416,1.066400131847285,76.6,0.0909074858712512
41,0.7669088880018312,88.534,0.9119850872438166,83.69,0.09045084971874741
42,0.760475637961407,88.792,0.8210651821727994,86.8,0.08998423292435458
43,0.7567241103673468,89.078,0.9481587447697604,81.73,0.08950775061878455
44,0.7528104201263311,89.29,0.9031623707541937,83.39,0.08902152036691653
45,0.7520511244632759,89.152,0.8708117106292821,85.15,0.08852566213878951
46,0.7497727198868381,89.366,0.9901417395736598,81.17,0.0880202982800016
47,0.7458991195474353,89.6,0.912845475009725,83.78,0.08750555348152303
48,0.7393316197760251,89.742,0.8415438042411322,85.86,0.08698155474893052
49,0.7394191531502471,89.926,0.9312864270391343,81.9,0.08644843137107061
50,0.7377885440174414,89.828,0.9883156728140915,80.77,0.08590631488815947
51,0.7342992808137622,90.016,0.8642193252527262,84.76,0.0853553390593274
52,0.7346084993712756,90.002,0.846301136137564,86.06,0.08479563982961574
53,0.7305180570300744,90.254,0.8009482848493359,87.95,0.08422735529643446
54,0.7242640846846055,90.4,0.9766889040983175,81.4,0.08365062567548869
55,0.7248578719338592,90.47,1.0504306064376348,77.9,0.08306559326618261
56,0.7273578044711327,90.42,0.871385893489741,84.46,0.0824724024165092
57,0.7151206050600324,90.726,0.8779108116898355,85.0,0.0818711994874345
58,0.7147429859151646,90.838,1.0402909758724743,79.63,0.08126213281678528
59,0.718961698972449,90.652,0.8925484577311745,84.37,0.08064535268264884
60,0.7110579676774084,91.13,0.9229887716377838,82.89,0.08002101126629421
61,0.7122429536313427,90.956,0.831998262224318,86.62,0.07938926261462367
62,0.7071965759506031,91.188,0.9592581474328343,82.18,0.07875026260216395
63,0.7075393473615452,91.202,0.8156818868238714,86.61,0.07810416889260656
64,0.7067862721730251,91.028,0.9138224419159225,83.7,0.07745114089990661
65,0.6993636628802942,91.706,0.9361005463177645,83.01,0.07679133974894985
66,0.7038089295431059,91.388,0.8298512576501581,86.72,0.07612492823579746
67,0.6931321800363307,91.842,0.8349076509475708,86.57,0.07545207078751859
68,0.6999386643268624,91.53,0.8728879727894747,85.04,0.0747729334216204
69,0.6903040944313517,92.04,1.0656230555304997,78.46,0.07408768370508578
70,0.6874838270703141,92.088,0.8383097128023075,86.07,0.0733964907130287
71,0.6914706613336291,91.834,0.8330766830263259,87.07,0.07269952498697736
72,0.6880720765614996,92.098,0.8519164776500268,86.36,0.07199695849279578
73,0.6811543520616026,92.422,0.8401722772211968,86.19,0.07128896457825366
